timestamp,Temperature,Humidity,PM2.5,CO2,TVOC,CO,prediction
2026-02-05 22:55:21,33.4,65.9,0.0,362.0,11.0,0.87,Poor
2026-02-05 22:55:27,33.3,65.7,0.0,364.0,14.0,0.87,Poor
2026-02-05 22:55:32,33.4,65.7,0.0,364.0,14.0,0.86,Poor
2026-02-05 22:55:38,33.4,65.7,0.0,363.0,14.0,0.87,Poor
2026-02-05 22:55:44,33.3,65.8,0.0,364.0,13.0,0.86,Poor
2026-02-05 22:55:49,33.3,65.8,0.0,362.0,13.0,0.87,Poor
2026-02-05 22:55:55,33.3,65.8,0.0,362.0,12.0,0.86,Poor
2026-02-05 22:56:01,33.3,65.8,0.0,363.0,14.0,0.86,Poor
2026-02-05 22:56:06,33.3,65.7,0.0,363.0,14.0,0.86,Poor
2026-02-05 22:56:12,33.3,65.8,0.0,364.0,14.0,0.87,Poor
2026-02-05 22:56:18,33.3,65.9,0.0,363.0,12.0,0.86,Poor
2026-02-05 22:56:23,33.4,65.8,0.0,364.0,14.0,0.88,Poor
2026-02-05 22:56:28,33.3,65.8,0.0,356.0,5.0,0.86,Poor
2026-02-05 22:56:34,33.3,65.9,0.0,363.0,14.0,0.88,Poor
2026-02-05 22:56:39,33.3,65.8,0.0,379.0,28.0,0.85,Poor
2026-02-05 22:56:45,33.3,65.9,0.0,364.0,14.0,0.86,Poor
2026-02-05 22:56:50,33.3,65.9,0.0,363.0,12.0,0.86,Poor
2026-02-05 22:56:56,33.3,65.8,0.0,362.0,12.0,0.85,Poor
2026-02-05 22:57:02,33.4,65.8,0.0,364.0,14.0,0.86,Poor
2026-02-05 22:57:08,33.3,65.9,0.0,355.0,14.0,0.85,Poor
2026-02-05 22:57:13,33.3,65.9,0.0,363.0,14.0,0.85,Poor
2026-02-05 22:57:19,33.3,66.0,0.0,355.0,5.0,0.87,Poor
2026-02-05 22:57:24,33.3,65.8,0.0,355.0,13.0,0.85,Poor
2026-02-05 22:57:30,33.3,65.8,0.0,363.0,14.0,0.85,Poor
2026-02-05 23:22:57,33.4,65.2,0.0,430.0,93.0,0.98,Poor
2026-02-05 23:23:02,33.5,65.4,126.45,468.0,112.0,0.98,Poor
2026-02-05 23:23:11,33.4,65.3,0.0,425.0,74.0,0.95,Poor
2026-02-05 23:23:16,33.5,68.3,5400.0,1557.0,1466.0,1.66,Poor
2026-02-05 23:23:22,33.4,66.0,39.41,878.0,650.0,1.25,Poor
2026-02-05 23:23:28,33.4,67.4,5090.55,1232.0,1157.0,1.62,Poor
2026-02-05 23:23:33,33.4,67.7,5400.0,871.0,904.0,2.16,Poor
2026-02-05 23:23:38,33.4,66.3,688.94,973.0,795.0,1.66,Poor
2026-02-05 23:23:46,33.4,65.8,266.67,1136.0,1004.0,1.55,Poor
2026-02-05 23:23:52,33.4,65.7,402.05,958.0,904.0,1.76,Poor
2026-02-05 23:23:57,33.4,66.4,5203.37,959.0,885.0,2.85,Poor
2026-02-05 23:24:03,33.5,66.1,769.52,1183.0,1232.0,1.95,Poor
2026-02-05 23:24:09,33.5,65.9,3606.15,965.0,814.0,2.3,Poor
2026-02-05 23:24:14,33.5,66.3,506.81,1509.0,1491.0,1.93,Poor
2026-02-05 23:24:19,33.6,65.2,690.55,911.0,681.0,1.52,Poor
2026-02-05 23:24:25,33.7,66.7,697.0,1543.0,1641.0,2.07,Poor
2026-02-05 23:24:30,33.7,65.0,0.0,901.0,680.0,1.51,Poor
2026-02-05 23:24:36,33.7,64.5,0.0,779.0,476.0,1.35,Poor
2026-02-05 23:24:41,33.7,64.4,0.0,683.0,302.0,1.26,Poor
2026-02-05 23:24:47,33.8,64.3,0.0,588.0,230.0,1.21,Poor
2026-02-05 23:24:52,33.7,64.3,0.0,545.0,187.0,1.18,Poor
